Hello !!,http://nec.edu.np/index.php?option=com_content&view=article&id=994:notice-regular-classes-conduction-on-friday&catid=47:notices&Itemid=74,bit.ly/3R7mIVO
Notice : Regular Classes conduction on Friday,https://nec.edu.np/index.php?option=com_content&view=article&id=994:notice-regular-classes-conduction-on-friday&catid=47:notices&Itemid=74,bit.ly/3R7mIVO
Notice : 021 Students nec-Changunarayan Campus,https://nec.edu.np/index.php?option=com_content&view=article&id=993:notice--021-students-nec-changunarayan-campus&catid=47:notices&Itemid=74,
Bus route from Bhadra 19,http://nec.edu.np/index.php?option=com_content&view=article&id=1001:bus-route-from-bhadra-19&catid=47:notices&Itemid=74,bit.ly/3Qw3OWV
